имя,фамилия,год рождения,место проживания,место работы,средняя зарплата в год,образование,судимости
Michael,Козлов,1961,Казань,Университет,34264,Среднее,нету
Isabella,Martinez,1959,Чолпон-Ата,MegaCorp,34417,Неполное высшее,нету
Асель,Козлов,1946,Тбилиси,АО Техно,52324,Среднее специальное,нету
Ольга,Сергеев,1948,Ереван,GreenFarm,33709,Среднее,нету
Михаил,Соколов,1993,Берлин,Ферма,67862,Бакалавр,нету
Асель,Абдрахманов,1973,Казань,ИП Сидоров,30341,Среднее,нету
Emma,Зайцев,1949,Баку,ИП Сидоров,47302,Неполное высшее,нету
Сезим,Бектуров,1960,Екатеринбург,Global Tech,61298,Магистр,нету
Juan,Жолдошев,1953,Мадрид,MegaCorp,32419,Среднее,нету
Данияр,Егоров,1983,Чолпон-Ата,Фабрика,73583,Бакалавр,нету
Андрей,Васильев,1994,Пекин,Фабрика,24756,Неполное высшее,есть
Maria,Patel,1994,Баку,Медцентр,25218,Среднее,есть
Сезим,Rahman,2010,Каракол,нет места работы,0,Среднее специальное,нету
Михаил,Карабаев,1986,Мадрид,Нет места работы,71357,Магистр,нету
Нурлан,Павлов,1985,Стамбул,Медцентр,74079,Бакалавр,нету
Эрмек,Беляев,1962,Мадрид,Салон Красоты,49635,Среднее специальное,нету
Нурлан,Нурматов,1960,Токио,Нет места работы,63029,Бакалавр,нету
Алиса,Harris,1984,Жалал-Абад,Ферма,72525,Магистр,нету
Улан,Новиков,1975,Санкт-Петербург,MegaCorp,59640,Бакалавр,нету
Сергей,Семенов,1973,Талас,Нет места работы,66085,Бакалавр,нету
Бегимай,Султанов,1995,Ереван,Ферма,96641,Доктор,нету
David,Иванов,2006,Мехико,Ферма,71541,Магистр,нету
Егор,Кадыров,1980,Берлин,IT Studio,80240,Магистр,нету
Гульзат,Johnson,1977,Баку,Банк,38959,Среднее,нету
Айнура,Johnson,2010,Пекин,нет места работы,0,Среднее,нету
Данияр,Егоров,1995,Токио,Университет,68005,Бакалавр,нету
Liu,Garcia,1961,Берлин,Компания А,31537,Среднее,нету
Эрмек,Карабаев,1968,Токио,Нет места работы,25708,Среднее,есть
Максим,Harris,1993,Мадрид,Нет места работы,61304,Бакалавр,нету
Юлия,Иванов,1953,Стамбул,Global Tech,43909,Среднее специальное,нету
Isabella,Исаев,1955,Екатеринбург,MegaCorp,38674,Среднее,нету
Maria,Gonzalez,1994,Пекин,Нет места работы,74009,Магистр,нету
Нурлан,Шаршеев,2006,Алматы,IT Studio,57293,Бакалавр,нету
Нурия,Султанов,2009,Нарын,нет места работы,0,Среднее,нету
Софья,Абдыкадыров,1959,Париж,Университет,40004,Неполное высшее,нету
Дарья,Taylor,1989,Мадрид,Нет места работы,72983,Бакалавр,нету
Lucas,Калмурзаев,2001,Бишкек,Салон Красоты,76542,Магистр,нету
Carlos,Кудрявцев,2002,Кызыл-Кыя,Ресторан,44860,Неполное высшее,нету
Fatima,Романов,2008,Бишкек,нет места работы,0,Магистр,нету
Emma,Кузнецов,1950,Лондон,Фабрика,42461,Среднее специальное,нету
Валерия,Harris,1981,Москва,Салон Красоты,57725,Бакалавр,нету
Ольга,Garcia,1942,Нью-Йорк,ИП Сидоров,49279,Среднее специальное,нету
Михаил,Кузнецов,1971,Чолпон-Ата,Нет места работы,80314,Магистр,нету
Emma,Соловьев,1999,Париж,ГК Ромашка,45704,Неполное высшее,нету
Владимир,Карабаев,1953,Тбилиси,Ресторан,35848,Среднее,нету
Алиса,Морозов,1971,Токтогул,ГК Ромашка,70933,Бакалавр,нету
Emma,Попов,1984,Баку,Компания А,36247,Среднее специальное,нету
James,Martinez,1953,Новосибирск,Медцентр,103982,Доктор,нету
Wei,Нурматов,2008,Стамбул,нет места работы,0,Среднее специальное,нету
David,Нурматов,1981,Сеул,Университет,37297,Неполное высшее,нету
Fatima,Hernandez,1988,Москва,Ферма,35253,Среднее,нету
Бакыт,Ниязов,1975,Мадрид,Global Tech,74620,Бакалавр,нету
Ольга,Абдрахманов,1992,Алматы,Нет места работы,62482,Бакалавр,нету
Дмитрий,Васильев,1977,Кызыл-Кыя,ТранспортСервис,44057,Среднее специальное,нету
Yuki,Молдокулов,1994,Нью-Йорк,IT Studio,57704,Бакалавр,нету
Ирина,Титов,1980,Токтогул,Ферма,56854,Бакалавр,нету
Ali,Шаршеев,2007,Ереван,ООО Строй,39140,Неполное высшее,нету
Айнура,Петров,2008,Каракол,нет места работы,0,Неполное высшее,нету
Андрей,Patel,1977,Париж,ГК Ромашка,86156,Магистр,нету
Lucas,Бектуров,2000,Алматы,Нет места работы,51989,Среднее специальное,нету
Ali,Семенов,1948,Казань,Медцентр,38562,Среднее специальное,нету
Emma,Жолдошев,1950,Кызыл-Кыя,ООО Строй,41236,Среднее,нету
Нурзат,White,1996,Жалал-Абад,АО Техно,78594,Магистр,нету
Анна,Егоров,1967,Кант,ИП Сидоров,55400,Бакалавр,нету
Robert,White,2000,Жалал-Абад,Университет,31221,Среднее,нету
Софья,Курманалиев,1965,Новосибирск,Фабрика,41960,Среднее,нету
Максим,Козлов,1961,Токио,IT Studio,40372,Неполное высшее,нету
Fatima,Жолдошев,1991,Кант,АО Техно,51114,Среднее специальное,нету
Гульзат,Мамытов,1943,Нарын,GreenFarm,48428,Неполное высшее,нету
Жаныбек,Ali,1945,Стамбул,Фабрика,56006,Бакалавр,нету
Noah,Thomas,2002,Нарын,ГК Ромашка,50576,Среднее специальное,нету
Нурия,Brown,2003,Жалал-Абад,АО Техно,62643,Бакалавр,нету
Асель,Мамытов,1981,Токтогул,Школа №1,113005,Доктор,нету
Carlos,Martin,1992,Ош,Университет,41013,Среднее,нету
Дарья,Нурматов,2010,Каракол,нет места работы,0,Магистр,нету
Maria,Martinez,1955,Бишкек,Банк,98917,Доктор,нету
Иван,Patel,1992,Нарын,ГК Ромашка,43656,Неполное высшее,нету
Светлана,Lopez,1977,Астана,Нет места работы,57518,Бакалавр,нету
Juan,Ершов,1989,Чолпон-Ата,ИП Сидоров,69013,Магистр,нету
James,Ниязов,2004,Кант,GreenFarm,77741,Магистр,нету
Omar,Федоров,1997,Баку,Ресторан,43753,Среднее специальное,нету
Гульзат,Титов,1970,Тбилиси,Компания А,48660,Среднее специальное,нету
Нурзат,Абдыкадыров,1959,Алматы,Компания А,121616,Доктор,нету
Maria,Зайцев,2007,Мехико,Медцентр,37301,Среднее специальное,нету
Бакыт,Ниязов,1990,Лондон,MegaCorp,35611,Среднее,нету
Асель,Martinez,2009,Ош,нет места работы,0,Бакалавр,нету
Эрмек,Бектуров,1969,Нью-Йорк,ГК Ромашка,36516,Среднее,нету
Айнура,Кузнецов,1945,Москва,Медцентр,57529,Бакалавр,нету
Robert,Hernandez,1963,Талас,ООО Строй,37284,Среднее,нету
Noah,Ершов,1969,Екатеринбург,Университет,73482,Бакалавр,нету
Carlos,Беляев,1949,Екатеринбург,Салон Красоты,80913,Магистр,нету
Aisha,Жолдошев,1965,Казань,ТранспортСервис,77594,Магистр,нету
Азамат,Сидоров,1990,Кант,АО Техно,43154,Среднее,нету
Mehmet,Бектуров,1969,Ереван,Фабрика,80553,Магистр,нету
Татьяна,Зайцев,1945,Жалал-Абад,Медцентр,37268,Бакалавр,есть
Азамат,Асанов,1993,Талас,ТранспортСервис,41816,Неполное высшее,нету
Жаныбек,Воробьев,1972,Мехико,Компания А,84187,Магистр,нету
Fatima,Морозов,1958,Стамбул,Ресторан,125578,Доктор,нету
Isabella,Сатыбалдиев,1951,Токио,ТранспортСервис,47441,Среднее специальное,нету
Бакыт,Rahman,1988,Пекин,Нет места работы,52207,Бакалавр,нету
Isabella,Асанов,1968,Лондон,IT Studio,39439,Среднее,нету
Наталья,Михайлов,1945,Ош,MegaCorp,35594,Неполное высшее,нету
Aisha,Эргешов,2009,Новосибирск,нет места работы,0,Бакалавр,нету
Светлана,Taylor,1952,Пекин,АО Техно,47737,Среднее специальное,нету
Валерия,Jackson,1996,Кызыл-Кыя,MegaCorp,86988,Магистр,нету
Чыңгыз,Козлов,1990,Кант,Университет,31512,Среднее,нету
Валерия,Сидоров,1946,Токио,Ферма,34538,Неполное высшее,нету
Juan,Егоров,1967,Пекин,Школа №1,69042,Магистр,нету
Юлия,Романов,2009,Кант,нет места работы,0,Бакалавр,нету
Наталья,Кузнецов,1956,Бишкек,Школа №1,38987,Среднее специальное,нету
Андрей,Романов,1993,Астана,ТранспортСервис,24977,Среднее,есть
Марина,White,2004,Кызыл-Кыя,Global Tech,47303,Магистр,есть
Сергей,Козлов,2001,Сеул,Университет,37278,Среднее специальное,нету
Ольга,Асанов,1958,Нарын,Компания А,35624,Среднее,нету
Yuki,Токтосунов,1998,Астана,MegaCorp,69103,Бакалавр,нету
Валерия,Thomas,1997,Мадрид,Салон Красоты,44945,Неполное высшее,нету
Асель,Anderson,1980,Берлин,Нет места работы,34515,Неполное высшее,нету
Ольга,Васильев,1995,Токтогул,АО Техно,65840,Бакалавр,нету
Isabella,Singh,1982,Берлин,Салон Красоты,42550,Среднее,нету
Андрей,Бектуров,1979,Санкт-Петербург,Нет места работы,33397,Среднее,нету
Марина,Молдокулов,1987,Токтогул,MegaCorp,75263,Бакалавр,нету
Isabella,Кузнецов,1974,Бишкек,Компания А,35199,Среднее,нету
Станислав,Ершов,1991,Нарын,Нет места работы,40816,Среднее,нету
Валерия,Калмурзаев,1993,Екатеринбург,GreenFarm,42845,Неполное высшее,нету
Андрей,Федоров,1960,Стамбул,Салон Красоты,63392,Бакалавр,нету
Maria,Taylor,1974,Чолпон-Ата,IT Studio,68068,Бакалавр,нету
Omar,Wang,1979,Ош,Нет места работы,36676,Неполное высшее,нету
Валерия,Михайлов,1972,Жалал-Абад,Банк,24488,Неполное высшее,есть
Hiroshi,Сафонов,2004,Баку,АО Техно,73610,Магистр,нету
Aisha,Морозов,1980,Тбилиси,IT Studio,37985,Среднее специальное,нету
Дмитрий,Асанов,1961,Токио,ТранспортСервис,63606,Магистр,нету
Марина,Исаев,1995,Тбилиси,Компания А,27195,Среднее специальное,есть
Кирилл,Морозов,2005,Лондон,ТранспортСервис,35200,Среднее,нету
Юлия,Абдрахманов,1953,Каракол,ИП Сидоров,36247,Неполное высшее,нету
Mehmet,Martin,1997,Берлин,Компания А,85912,Магистр,нету
Асель,Федоров,1996,Нарын,GreenFarm,36985,Среднее специальное,нету
Hassan,Морозов,1979,Екатеринбург,ИП Сидоров,30962,Среднее специальное,есть
Екатерина,Gonzalez,1989,Екатеринбург,АО Техно,62520,Бакалавр,нету
Lucas,Титов,1981,Ереван,ГК Ромашка,49783,Среднее специальное,нету
Мээрим,Соколов,2004,Лондон,Университет,37659,Среднее,нету
Владимир,Сатыбалдиев,1987,Мехико,АО Техно,45884,Неполное высшее,нету
Нурия,Новиков,1982,Токтогул,Медцентр,59694,Бакалавр,нету
Noah,Ершов,1984,Жалал-Абад,ИП Сидоров,98869,Доктор,нету
Нурзат,Кадыров,1956,Берлин,Global Tech,53868,Бакалавр,нету
William,Nguyen,1986,Бишкек,Нет места работы,39288,Среднее специальное,нету
Татьяна,Федоров,1949,Жалал-Абад,Global Tech,62158,Магистр,нету
Мээрим,Романов,1988,Каракол,Банк,40461,Среднее,нету
Михаил,Brown,1986,Берлин,Университет,57281,Бакалавр,нету
Эрмек,Карабаев,2000,Мадрид,Университет,74342,Магистр,нету
Данияр,Калмурзаев,2004,Астана,Медцентр,50835,Среднее специальное,нету
Андрей,Rodriguez,1987,Баку,ГК Ромашка,69266,Магистр,нету
Владимир,Нурматов,1997,Мадрид,ООО Строй,49881,Среднее специальное,нету
Бегимай,Кузнецов,1993,Ош,ИП Сидоров,42390,Среднее специальное,нету
Сергей,Султанов,1952,Пекин,АО Техно,58565,Бакалавр,нету
Ahmed,Михайлов,2000,Екатеринбург,Нет места работы,56836,Бакалавр,нету
Светлана,Patel,2007,Новосибирск,АО Техно,33599,Среднее,нету
Aisha,Новиков,1954,Пекин,Нет места работы,75885,Магистр,нету
Эрмек,Ершов,1977,Новосибирск,Банк,39654,Среднее,нету
Ольга,Wang,1986,Нарын,Global Tech,108801,Доктор,нету
Элина,Garcia,1945,Лондон,ТранспортСервис,49403,Среднее специальное,нету
Бегимай,Абдрахманов,1953,Стамбул,ТранспортСервис,64858,Бакалавр,нету
Виктор,Martin,2001,Лондон,Университет,30735,Среднее,нету
Алиса,Попов,1965,Мадрид,MegaCorp,36939,Среднее,нету
Николай,Титов,1976,Санкт-Петербург,Фабрика,44630,Магистр,есть
Сезим,Thomas,1991,Нью-Йорк,Банк,44446,Среднее специальное,нету
Mehmet,Эргешов,2006,Кант,Банк,76751,Магистр,нету
Гульзат,Павлов,1950,Москва,Салон Красоты,55646,Бакалавр,нету
Maria,Молдокулов,1997,Ош,Салон Красоты,58266,Бакалавр,нету
Павел,Морозов,1991,Санкт-Петербург,Школа №1,38453,Среднее специальное,нету
Maria,Смирнов,1956,Нарын,GreenFarm,33968,Неполное высшее,нету
Светлана,White,1987,Санкт-Петербург,ТранспортСервис,28766,Среднее специальное,есть
Улан,Исаев,1954,Бишкек,MegaCorp,54459,Бакалавр,нету
Бакыт,White,1967,Ереван,ГК Ромашка,35595,Неполное высшее,нету
Максим,White,1962,Мадрид,Компания А,67816,Бакалавр,нету
Егор,Patel,2009,Жалал-Абад,нет места работы,0,Магистр,нету
Владимир,Киселев,1986,Астана,ООО Строй,45902,Неполное высшее,нету
Сергей,Сатыбалдиев,2010,Тбилиси,нет места работы,0,Среднее специальное,нету
Juan,Романов,1951,Нарын,Global Tech,39926,Неполное высшее,нету
Robert,Ali,1949,Каракол,Global Tech,100288,Доктор,нету
Juan,Сергеев,1956,Новосибирск,Global Tech,38627,Среднее специальное,нету
Кирилл,Беляев,1981,Мехико,IT Studio,72140,Бакалавр,нету
Айбек,Орлов,2010,Кант,нет места работы,0,Среднее,нету
Айнура,Li,1951,Астана,Банк,67595,Бакалавр,нету
Мээрим,Hernandez,1945,Пекин,GreenFarm,68680,Магистр,нету
Дарья,Ali,1993,Ереван,IT Studio,67186,Бакалавр,нету
Айнура,Rodriguez,1971,Токио,АО Техно,65617,Магистр,нету
James,Rodriguez,1999,Чолпон-Ата,Компания А,45018,Неполное высшее,нету
Бегимай,Johnson,1956,Стамбул,Университет,38110,Среднее специальное,нету
Sophia,Исаев,1958,Токтогул,Салон Красоты,33738,Среднее,нету
Владимир,Асанов,1980,Чолпон-Ата,Нет места работы,72945,Бакалавр,нету
Mehmet,Сидоров,1951,Казань,ТранспортСервис,36857,Среднее специальное,нету
Данияр,Lopez,2000,Жалал-Абад,Фабрика,48368,Среднее специальное,нету
Michael,Сатыбалдиев,1945,Казань,IT Studio,31254,Среднее,нету
Hassan,White,2010,Кант,нет места работы,0,Магистр,нету
Ирина,Романов,1952,Казань,ТранспортСервис,48834,Среднее специальное,нету
Алиса,Nguyen,1991,Астана,Нет места работы,25022,Среднее,есть
Светлана,Nguyen,1957,Москва,IT Studio,78137,Магистр,нету
Hassan,Nguyen,2008,Алматы,нет места работы,0,Бакалавр,нету
Айнура,Garcia,1942,Санкт-Петербург,IT Studio,46002,Неполное высшее,нету
Сергей,Garcia,1973,Лондон,АО Техно,65768,Бакалавр,нету
Кирилл,Wang,1988,Каракол,ГК Ромашка,66557,Магистр,нету
Maria,Султанов,1993,Каракол,Нет места работы,50832,Среднее специальное,нету
Павел,Михайлов,2006,Чолпон-Ата,Ресторан,59218,Бакалавр,нету
Виктор,Harris,2008,Москва,нет места работы,0,Среднее специальное,нету
Бакыт,Rodriguez,1964,Кызыл-Кыя,IT Studio,45600,Неполное высшее,нету
Дарья,Martinez,1980,Алматы,Фабрика,37989,Неполное высшее,нету
Lucas,Chen,1988,Мадрид,Медцентр,98092,Доктор,нету
Данияр,Соколов,1984,Мехико,Ферма,50071,Среднее специальное,нету
Жаныбек,Singh,1974,Каракол,АО Техно,39731,Среднее,нету
Yuki,Кудрявцев,1969,Ош,Медцентр,30283,Среднее,нету
Juan,Беляев,1992,Лондон,Ферма,82799,Магистр,нету
Данияр,Асанов,1976,Лондон,ООО Строй,37817,Среднее,нету
Николай,Киселев,1993,Мадрид,Нет места работы,85106,Магистр,нету
Mehmet,Сергеев,1977,Мадрид,Компания А,34254,Среднее,нету
Carlos,Wang,2003,Мадрид,Ферма,84319,Магистр,нету
Нурия,Беляев,1998,Лондон,IT Studio,42397,Неполное высшее,нету
Артур,Киселев,1991,Пекин,ГК Ромашка,39166,Среднее специальное,нету
Татьяна,Rodriguez,1981,Мехико,Фабрика,48479,Неполное высшее,нету
Айнура,Rahman,1941,Кант,ГК Ромашка,62900,Бакалавр,нету
Владимир,Johnson,2004,Мехико,ГК Ромашка,79430,Магистр,нету
Азамат,Эргешов,1968,Кызыл-Кыя,ТранспортСервис,103185,Доктор,нету
Juan,Garcia,2008,Токио,нет места работы,0,Бакалавр,нету
Валерия,Исаев,1950,Астана,GreenFarm,37935,Среднее специальное,нету
Juan,Gonzalez,1965,Тбилиси,Университет,38003,Среднее специальное,нету
Дарья,Rahman,2002,Нарын,Нет места работы,64865,Магистр,нету
James,Harris,1947,Баку,Ресторан,40347,Среднее специальное,нету
Алексей,Соловьев,1949,Ош,АО Техно,51880,Среднее специальное,нету
Егор,Garcia,1944,Жалал-Абад,Салон Красоты,42382,Среднее специальное,нету
Нурзат,White,1988,Казань,Медцентр,39500,Среднее,нету
Бегимай,Гусев,1962,Баку,Школа №1,48854,Среднее специальное,нету
Айнура,Martin,2009,Новосибирск,нет места работы,0,Среднее специальное,нету
Софья,Исаев,1998,Санкт-Петербург,ГК Ромашка,30667,Среднее,нету
James,Сидоров,1970,Чолпон-Ата,АО Техно,33688,Среднее,нету
Михаил,Johnson,1996,Кызыл-Кыя,Медцентр,44577,Среднее специальное,нету
Азамат,Сафонов,1980,Тбилиси,IT Studio,72877,Бакалавр,нету
Wei,Кудрявцев,1992,Жалал-Абад,Банк,43314,Неполное высшее,нету
William,Singh,2003,Ош,Global Tech,99241,Доктор,нету
James,Brown,1959,Жалал-Абад,ООО Строй,41132,Среднее специальное,нету
Юлия,Martin,1947,Баку,Ресторан,40150,Среднее специальное,нету
Дарья,Кадыров,1950,Мехико,Ферма,36906,Среднее специальное,нету
Нурзат,Попов,1949,Чолпон-Ата,Ферма,74851,Магистр,нету
Нурия,Жолдошев,1941,Чолпон-Ата,Нет места работы,87355,Магистр,нету
Дарья,Smith,1970,Баку,ТранспортСервис,38314,Неполное высшее,нету
Каныкей,Nguyen,2003,Екатеринбург,Компания А,43207,Среднее,нету
Сезим,Султанов,1992,Ош,Фабрика,65035,Бакалавр,нету
Noah,Rahman,1993,Жалал-Абад,ООО Строй,37307,Среднее,нету
Мээрим,Мамытов,2002,Нью-Йорк,ТранспортСервис,55709,Бакалавр,нету
Carlos,Martinez,1963,Мехико,Global Tech,62045,Магистр,нету
Максим,Лебедев,1940,Новосибирск,Медцентр,30339,Среднее,нету
Hassan,Harris,1987,Ош,Нет места работы,67608,Бакалавр,нету
Дмитрий,Иванов,2008,Баку,нет места работы,0,Среднее специальное,нету
Дмитрий,Wang,1975,Баку,Салон Красоты,77596,Доктор,есть
Виктор,Павлов,1952,Астана,ТранспортСервис,34009,Среднее,нету
John,Соколов,1987,Казань,IT Studio,47631,Среднее специальное,нету
Ольга,Смирнов,1951,Казань,Нет места работы,36193,Среднее специальное,нету
Кирилл,Соколов,2003,Сеул,ГК Ромашка,51205,Среднее специальное,нету
Михаил,Сафонов,1967,Мадрид,АО Техно,87634,Магистр,нету
Улан,Chen,1944,Талас,GreenFarm,65217,Магистр,нету
John,Морозов,1978,Талас,MegaCorp,59654,Бакалавр,нету
Татьяна,Соколов,2004,Нью-Йорк,ИП Сидоров,67670,Доктор,есть
John,Асанов,1943,Лондон,ТранспортСервис,42165,Неполное высшее,нету
Нурзат,Thomas,1963,Берлин,IT Studio,70978,Бакалавр,нету
Максим,Соколов,1974,Каракол,Ресторан,41402,Среднее специальное,нету
Марина,Васильев,1940,Жалал-Абад,ИП Сидоров,39210,Среднее специальное,нету
Sophia,Singh,2005,Новосибирск,Компания А,42488,Среднее,нету
Иван,Токтосунов,1992,Казань,ООО Строй,65488,Бакалавр,нету
Кирилл,Калмурзаев,1961,Каракол,Банк,40302,Неполное высшее,нету
James,Жолдошев,2001,Токио,Нет места работы,38651,Среднее,нету
Алиса,Harris,1953,Каракол,Ресторан,46118,Неполное высшее,нету
Нурия,Jackson,1982,Новосибирск,Медцентр,69708,Магистр,нету
Алиса,Rodriguez,1980,Талас,Нет места работы,125598,Доктор,нету
Нурлан,Асанов,1988,Кант,GreenFarm,66816,Магистр,нету
Carlos,Сергеев,2010,Бишкек,нет места работы,0,Доктор,нету
Fatima,Егоров,1996,Токио,Салон Красоты,44054,Неполное высшее,нету
Татьяна,Жолдошев,1970,Кант,ИП Сидоров,62503,Бакалавр,нету
Ali,Rahman,1991,Баку,MegaCorp,36656,Среднее специальное,нету
Каныкей,Li,1950,Токтогул,АО Техно,65275,Бакалавр,нету
Michael,Кадыров,1995,Токтогул,Global Tech,38141,Среднее,нету
Lucas,Кудрявцев,1997,Санкт-Петербург,Global Tech,38588,Среднее специальное,нету
Сергей,Rodriguez,1953,Жалал-Абад,Медцентр,41939,Среднее специальное,нету
Мээрим,Harris,1966,Астана,Университет,41440,Среднее специальное,нету
Айнура,Попов,1954,Бишкек,Банк,87800,Магистр,нету
Нурлан,Kim,1962,Баку,ООО Строй,41550,Среднее,нету
Станислав,Сергеев,1995,Казань,GreenFarm,36316,Среднее,нету
Алексей,Соловьев,1966,Кант,ГК Ромашка,71013,Бакалавр,нету
Hiroshi,Сергеев,1986,Москва,Нет места работы,37711,Среднее,нету
Асель,Абдыкадыров,1990,Тбилиси,Банк,41777,Среднее,нету
Айнура,Соколов,1957,Москва,Медцентр,37471,Среднее,нету
James,Михайлов,1989,Новосибирск,Банк,38098,Среднее,нету
Omar,Бектуров,1957,Талас,Нет места работы,39111,Неполное высшее,нету
Иван,Martinez,1957,Чолпон-Ата,Нет места работы,72832,Магистр,нету
Omar,Taylor,1996,Алматы,ООО Строй,34361,Среднее,нету
Улан,Кудрявцев,2008,Жалал-Абад,нет места работы,0,Среднее,нету
Aisha,Hernandez,2003,Баку,MegaCorp,49992,Среднее специальное,нету
Каныкей,Chen,1945,Стамбул,ГК Ромашка,69471,Бакалавр,нету
Нурлан,Жолдошев,1944,Екатеринбург,ГК Ромашка,45670,Неполное высшее,нету
Эрмек,Егоров,1984,Сеул,Медцентр,70657,Бакалавр,нету
Дарья,Козлов,1984,Баку,IT Studio,38013,Неполное высшее,нету
Жаныбек,Nguyen,1952,Каракол,Фабрика,121508,Доктор,нету
Елена,Романов,1971,Каракол,Ресторан,63484,Бакалавр,нету
Lucas,Нурматов,1993,Казань,ИП Сидоров,42863,Среднее специальное,нету
Улан,Эргешов,1998,Алматы,ИП Сидоров,29462,Неполное высшее,есть
Aisha,Байгазиев,1948,Токио,Ферма,44421,Среднее специальное,нету
Гульзат,Бектуров,1983,Баку,Компания А,73311,Бакалавр,нету
Андрей,Попов,1952,Лондон,Банк,62315,Бакалавр,нету
Алексей,Anderson,1965,Париж,Фабрика,63756,Магистр,нету
Каныкей,Мамытов,1950,Санкт-Петербург,Нет места работы,66790,Бакалавр,нету
Софья,Anderson,1951,Париж,GreenFarm,33425,Среднее,нету
Maria,Петров,1941,Париж,Медцентр,40979,Неполное высшее,нету
Софья,Абдыкадыров,1951,Нью-Йорк,IT Studio,65015,Магистр,нету
Татьяна,Ершов,1948,Астана,ТранспортСервис,69141,Бакалавр,нету
Светлана,Brown,1996,Сеул,ГК Ромашка,42740,Неполное высшее,нету
Элина,Молдокулов,1994,Москва,ООО Строй,65037,Бакалавр,нету
Данияр,Кузнецов,1978,Чолпон-Ата,IT Studio,46989,Среднее специальное,нету
Эрмек,Lopez,1989,Токтогул,Школа №1,48996,Неполное высшее,нету
Асель,Романов,1989,Сеул,Банк,82994,Магистр,нету
Максим,Сидоров,1948,Бишкек,Ресторан,27608,Неполное высшее,есть
Hassan,Taylor,1994,Париж,Медцентр,40737,Среднее специальное,нету
Айгерим,Соколов,2005,Мехико,Ресторан,42691,Неполное высшее,нету
Егор,Карабаев,1995,Нью-Йорк,Салон Красоты,91007,Доктор,нету
Павел,Карабаев,1962,Токтогул,Нет места работы,37266,Среднее,нету
Бегимай,Kim,2006,Токио,Фабрика,82138,Магистр,нету
Ирина,Кузнецов,1982,Токио,GreenFarm,46673,Среднее специальное,нету
Mehmet,Harris,2005,Санкт-Петербург,Банк,33836,Среднее,нету
Марина,Ali,1954,Кызыл-Кыя,Школа №1,39237,Бакалавр,есть
Ahmed,Сатыбалдиев,1989,Мехико,MegaCorp,41626,Среднее,нету
James,Кудрявцев,1981,Кызыл-Кыя,ИП Сидоров,45724,Среднее специальное,нету
Ирина,Gonzalez,1946,Талас,Нет места работы,39770,Неполное высшее,нету
Fatima,Бектуров,1979,Москва,IT Studio,38224,Среднее,нету
Айнура,Исаев,1999,Санкт-Петербург,Ферма,69385,Бакалавр,нету
Carlos,Исаев,1959,Бишкек,Школа №1,57101,Магистр,есть
Алексей,Калмурзаев,1979,Токтогул,АО Техно,48770,Неполное высшее,нету
Юлия,Шаршеев,1951,Ош,ТранспортСервис,74250,Магистр,нету
Ольга,Rahman,1952,Астана,GreenFarm,31094,Среднее,нету
Елена,Абдрахманов,1977,Кант,Компания А,70214,Магистр,нету
Жаныбек,Сафонов,1949,Чолпон-Ата,ГК Ромашка,32546,Среднее,нету
